ticker,nasdaq100,sp500
A,0,1
AAPL,1,1
ABBV,0,1
ABNB,1,1
ABT,0,1
ACGL,0,1
ACN,0,1
ADBE,1,1
ADI,1,1
ADM,0,1
ADP,1,1
ADSK,1,1
AEE,0,1
AEP,1,1
AES,0,1
AFL,0,1
AIG,0,1
AIZ,0,1
AJG,0,1
AKAM,0,1
ALB,0,1
ALGN,0,1
ALL,0,1
ALLE,0,1
ALNY,1,0
AMAT,1,1
AMCR,0,1
AMD,1,1
AME,0,1
AMGN,1,1
AMP,0,1
AMT,0,1
AMZN,1,1
ANET,0,1
AON,0,1
AOS,0,1
APA,0,1
APD,0,1
APH,0,1
APO,0,1
APP,1,1
APTV,0,1
ARE,0,1
ARES,0,1
ARM,1,0
ASML,1,0
ATO,0,1
AVB,0,1
AVGO,1,1
AVY,0,1
AWK,0,1
AXON,1,1
AXP,0,1
AZO,0,1
BA,0,1
BAC,0,1
BALL,0,1
BAX,0,1
BBY,0,1
BDX,0,1
BEN,0,1
BF.B,0,1
BG,0,1
BIIB,0,1
BK,0,1
BKNG,1,1
BKR,1,1
BLDR,0,1
BLK,0,1
BMY,0,1
BR,0,1
BRK.B,0,1
BRO,0,1
BSX,0,1
BX,0,1
BXP,0,1
C,0,1
CAG,0,1
CAH,0,1
CARR,0,1
CASY,0,1
CAT,0,1
CB,0,1
CBOE,0,1
CBRE,0,1
CCEP,1,0
CCI,0,1
CCL,0,1
CDNS,1,1
CDW,0,1
CEG,1,1
CF,0,1
CFG,0,1
CHD,0,1
CHRW,0,1
CHTR,1,1
CI,0,1
CIEN,0,1
CINF,0,1
CL,0,1
CLX,0,1
CMCSA,1,1
CME,0,1
CMG,0,1
CMI,0,1
CMS,0,1
CNC,0,1
CNP,0,1
COF,0,1
COHR,0,1
COIN,0,1
COO,0,1
COP,0,1
COR,0,1
COST,1,1
CPAY,0,1
CPB,0,1
CPRT,1,1
CPT,0,1
CRH,0,1
CRL,0,1
CRM,0,1
CRWD,1,1
CSCO,1,1
CSGP,1,1
CSX,1,1
CTAS,1,1
CTSH,1,1
CTVA,0,1
CVNA,0,1
CVS,0,1
CVX,0,1
D,0,1
DAL,0,1
DASH,1,1
DD,0,1
DDOG,1,1
DE,0,1
DECK,0,1
DELL,0,1
DG,0,1
DGX,0,1
DHI,0,1
DHR,0,1
DIS,0,1
DLR,0,1
DLTR,0,1
DOC,0,1
DOV,0,1
DOW,0,1
DPZ,0,1
DRI,0,1
DTE,0,1
DUK,0,1
DVA,0,1
DVN,0,1
DXCM,1,1
EA,1,1
EBAY,0,1
ECL,0,1
ED,0,1
EFX,0,1
EG,0,1
EIX,0,1
EL,0,1
ELV,0,1
EME,0,1
EMR,0,1
EOG,0,1
EPAM,0,1
EQIX,0,1
EQR,0,1
EQT,0,1
ERIE,0,1
ES,0,1
ESS,0,1
ETN,0,1
ETR,0,1
EVRG,0,1
EW,0,1
EXC,1,1
EXE,0,1
EXPD,0,1
EXPE,0,1
EXR,0,1
F,0,1
FANG,1,1
FAST,1,1
FCX,0,1
FDS,0,1
FDX,0,1
FE,0,1
FER,1,0
FFIV,0,1
FICO,0,1
FIS,0,1
FISV,0,1
FITB,0,1
FIX,0,1
FOX,0,1
FOXA,0,1
FRT,0,1
FSLR,0,1
FTNT,1,1
FTV,0,1
GD,0,1
GDDY,0,1
GE,0,1
GEHC,1,1
GEN,0,1
GEV,0,1
GILD,1,1
GIS,0,1
GL,0,1
GLW,0,1
GM,0,1
GNRC,0,1
GOOG,1,1
GOOGL,1,1
GPC,0,1
GPN,0,1
GRMN,0,1
GS,0,1
GWW,0,1
HAL,0,1
HAS,0,1
HBAN,0,1
HCA,0,1
HD,0,1
HIG,0,1
HII,0,1
HLT,0,1
HON,1,1
HOOD,0,1
HPE,0,1
HPQ,0,1
HRL,0,1
HSIC,0,1
HST,0,1
HSY,0,1
HUBB,0,1
HUM,0,1
HWM,0,1
IBKR,0,1
IBM,0,1
ICE,0,1
IDXX,1,1
IEX,0,1
IFF,0,1
INCY,0,1
INSM,1,0
INTC,1,1
INTU,1,1
INVH,0,1
IP,0,1
IQV,0,1
IR,0,1
IRM,0,1
ISRG,1,1
IT,0,1
ITW,0,1
IVZ,0,1
J,0,1
JBHT,0,1
JBL,0,1
JCI,0,1
JKHY,0,1
JNJ,0,1
JPM,0,1
KDP,1,1
KEY,0,1
KEYS,0,1
KHC,1,1
KIM,0,1
KKR,0,1
KLAC,1,1
KMB,0,1
KMI,0,1
KO,0,1
KR,0,1
KVUE,0,1
L,0,1
LDOS,0,1
LEN,0,1
LH,0,1
LHX,0,1
LII,0,1
